id;nome;cpf;telefone
1;albert einstein;245.908.460-98;(89) 57946-8077
2;isaac newton;395.168.000-84;(21) 56128-0840
3;marie curie;531.833.350-00;(86) 80021-4974
4;galilée;659.086.570-28;(10) 59039-5240
5;albertison einstein;745.908.460-98;(89) 57946-8077
6;isaacson newton;995.168.000-84;(21) 56128-0840
7;maries curie;531.033.550-00;(86) 80021-4974
8;galiléed;659.086.670-18;(10) 59039-5240
9;albertcv einstein;645.908.460-98;(89) 57946-8077
10;isaacb newton;395.068.000-84;(21) 56128-0840
11;mariea curie;531.433.550-00;(86) 80021-4974
12;galiléet;659.086.670-18;(10) 59039-5240
13;albertb einstein;845.908.460-98;(89) 57946-8077
14;isaacn newton;495.168.000-84;(21) 56128-0840
15;mariq curie;131.833.550-00;(86) 80021-4974
16;galil;696.086.570-18;(10) 59039-5240
